p__Euryarchaeota	k__Bacteria	p__Actinobacteria	p__Bacteroidetes	p__Elusimicrobia	p__Firmicutes	p__Fusobacteria	p__Lentisphaerae	p__Proteobacteria	p__Tenericutes	p__Verrucomicrobia
T.CS.102	0.00323271811449836	0.000751794910348457	0.177724316806375	0.269668834341992	0	0.464496485358794	0	0.00026312821862196	0.0743901063789798	0.00109010262000526	0
T.CS.178	0.0265094202748357	0.00889174456442888	0.16386511078409	0.149688063506539	0.0170580554231351	0.505005492569486	0.000559620287271747	0.0224677182000953	0.0996538644889838	0.00180322092565341	0.0040417020747404
T.CS.119	0.0140052850132125	0.00713476783691959	0.0894677236693092	0.0416761041902605	0.000113250283125708	0.727633069082673	0.000415251038127595	0.0167232918082295	0.0696866742166855	0.0117402793506984	0.000604001510003775
T.CS.098	0.000763239265724686	0.000391404751653685	0.0264785314493718	0.201730009002309	0.00440330345610396	0.600082194997847	0.001859172570355	0.000215272613409527	0.1598105601002	0.00420760108027711	0
T.CS.134	0.00177835394229491	3.32402606036431e-05	0.0299162345432788	0.373437707751629	0.0839150378938971	0.392750299162345	0.000265922084829145	0.00865908788724904	0.109161015822364	0	0
T.CS.161	0.00116799133977153	0.00894510440703074	0.0352106657550637	0.202347377717004	0.000655214654018175	0.642281286499729	0.0015098424636071	0.00227900749223713	0.0734695040309945	0.0313933282055665	0.000512776685753354
CS.015	0	3.60529256949201e-05	0.216389660020911	0.241806972635829	0	0.439521217146771	0	0	0.102246097270794	0	0
CS.103	7.82105427811669e-05	3.91052713905835e-05	0.09651180979196	0.268848740810261	0	0.607735022681057	0	0.000469263256687001	0.0214296887220397	3.91052713905835e-05	0.0044971062099171
CS.237	0	3.58590024025532e-05	0.140925879442034	0.165704450102198	0	0.634560906515581	0.00103991106967404	0	0.0497722953347438	0	0.0079606985333668
CS.238	2.97539349578982e-05	0.0032729328453688	0.0753667172483561	0.301228837513761	0	0.551875985599095	0	0	0.068077003183671	8.92618048736945e-05	0
CS.006	0.000151633854785312	0.000227450782177968	0.207157117945867	0.303596249589325	0.000151633854785312	0.374105992064495	0.00222396320351791	0	0.111754150976775	7.58169273926559e-05	0.000555990800879476
CS.242	0.00321645264260825	0.00141328979750969	0.040035088574283	0.350983211091888	0.0242695972124077	0.470674236701674	0.000243670654743049	0.000316771851165964	0.10833597309876	0.000194936523794439	0.000292404785691659
L.034.M1	0	0.000740990232401482	0.0486359043448973	0.189221960255978	0	0.67005725833614	0	0	0.0857527787133715	0.000538901987201078	0.0050522061300101
L.024.M1	0.000158921152405385	4.54060435443958e-05	0.0869525733875179	0.335936613163212	0	0.470974186664245	0.000522169500760551	4.54060435443958e-05	0.105183099870593	0	0
CS.085	0.00156234418109896	0.0011634477944354	0.127912774656783	0.181198683641924	0	0.56184556061563	0.000265930924442376	0.000864275504437722	0.124621879466808	0.00033241365555297	0.000199448193331782
CS.246	0.0044002446772825	0.00248623690285917	0.117030722784585	0.314351111900393	0.000118392233469484	0.522504390378658	0.000710353400816906	0.000315712622585292	0.0374908739320034	0.000138124272381065	0.000453836894966357
CS.356	1.30485274736746e-05	1.30485274736746e-05	0.0481360178503856	0.209337526260162	0	0.393582734188447	0.256220885473074	0	0.0926967391729843	0	0
CS.241	0.0283637074951912	0.00759625729468914	0.0748541062171943	0.327812734326606	0.000880252991230072	0.541844619046067	0	0	0.0185179147784697	0	0
CS.110	0	0.000268393330425739	0.0282819471936122	0.189183748783843	0	0.773677324118496	6.70983326064347e-05	0	0.00848793907471399	3.35491663032174e-05	0
CS.082	0.00210442194992009	0.00436867341502397	0.155380927011188	0.255087906233351	0	0.516595631326585	0.0232818327117741	0.000905700586041556	0.0409429941395844	0.000905700586041556	0.000239744272775706
CS.088	0	0.00296426185704743	0.0689295257181029	0.340890113560454	0	0.540455911823647	0	0	0.0467601870407482	0	0
CS.233	0.00260750962772786	0.00100288831835687	0.193637676508344	0.146421694480103	0	0.612965340179718	0.000280808729139923	0.000120346598202824	0.0425625802310655	0.000120346598202824	0.000200577663671374
CS.325	0	0	0.0293885313048566	0.439950263311878	0	0.511644236395553	0.0148039789350497	2.92568753657109e-05	0.00416910473961381	1.46284376828555e-05	0
CS.308.0	0	0	0.0710968446933479	0.355791558530255	0	0.415926785958202	0.141818057642399	0	0.0151960114738424	0	6.8296680781314e-05
CS.347.0	0.000293136931589169	0.000989337144113444	0.060569418489612	0.205782125975596	0	0.667252940529845	0.0292404089260196	0	0.0358726320032245	0	0
CS.274	1.99096103689251e-05	9.95480518446254e-05	0.0579568757839409	0.204411969657754	0	0.639655961932825	0.0249666514026321	1.99096103689251e-05	0.0644075895434726	0	0.00846158440679316
CS.346	0	0.00164965748636936	0.206402907870823	0.138822871522438	0	0.590185935970921	0.00120229274430309	0	0.0608695652173913	0	0.000838808891374249
CS.228	0	0.000132850642664984	0.0363014381082069	0.151848284566077	0	0.798432362416553	0	0	0.0130857883025009	6.64253213324919e-05	0.000132850642664984
CS.345.0	0	6.54428847223586e-05	0.211347796210857	0.368247112332712	0	0.348254311050031	0.0564772095153954	0	0.0152809135826707	0	0.000327214423611793
CS.207	3.02407161001573e-05	6.04814322003145e-05	0.113856296117092	0.157463408733519	3.02407161001573e-05	0.566801741865247	0.13644611104391	3.02407161001573e-05	0.0246764243377283	3.02407161001573e-05	0.000272166444901415
CS.187	3.65063429770923e-05	0.00153326640503788	0.198649265309848	0.248060600529342	0	0.484457424477503	0.011864561467555	0.000675367345076207	0.0460162453226248	0	0.00870676280003651
CS.189	0.000221131307770554	0.00024324443854761	0.04588474636239	0.262504975454425	0.000928751492636327	0.522665959046482	0.133121047277874	6.63393923311662e-05	0.0320419264959533	4.42262615541108e-05	0.0014373535005086
CS.191	0.00296371857079841	0.000179201588001764	0.0276797529775033	0.417980811645346	0	0.511661887957653	0.0198362373180415	0.000385972651080723	0.0176444640494045	0.00164038376709307	0
CS.364	0	0.000341714838966882	0.0872511888828772	0.428083264515762	0	0.373722128883447	0	0	0.110544750405786	0	5.6952473161147e-05
CS.311	0	0	0.0985119758096602	0.364008912230445	0	0.506763746319726	0.00011936022917164	0	0.0304368584387682	0	0.00011936022917164
CS.304	0.000297477391718229	0	0.0642551166111376	0.263624464540695	0.000297477391718229	0.616789623988577	0	0	0.0535459305092813	0	0.00118990956687292
CS.331	0.00047849583427156	0.00016888088268408	0.128490204908804	0.229678000450349	0.00019702769646476	0.619736545823013	2.814681378068e-05	0.00033776176536816	0.0206879081287998	8.44404413420401e-05	0.00011258725512272
CS.194	0	1.25154879162964e-05	0.0746423699327918	0.297831065944106	0	0.602182701092602	0.000613258907898524	0	0.0247055731467691	0	1.25154879162964e-05
CS.319	0	0	0.0523167037973416	0.47260256827455	0	0.387769405992641	0	0	0.0871736463991589	0	0.00012515957846254
CS.152	0.0375475909150584	0.00175922279112511	0.0824209006170408	0.233714060653801	2.62570565839569e-05	0.584613364841801	0.00299330445057109	0.00110279637652619	0.0534068530917684	0.000131285282919785	0.00215307863988447
CS.361	0	0	0.150124069478908	0.289214817440624	0	0.5100584898972	0.000753278979085431	4.43105281814959e-05	0.0467476072314782	0	0.00305742644452322
CS.112	0	0	0.0215650480710722	0.420664476086163	0	0.521114762078618	0.00138736765242789	0.000146038700255568	0.0329317269076305	0	0.00219058050383352
CS.080	6.12876536021818e-05	0.000490301228817455	0.133913523120767	0.253761529739834	0	0.572028314895964	0.0167928170869978	3.06438268010909e-05	0.022921582447216	0	0
CS.158	0	0	0.0542406311637081	0.183537616229924	0	0.739468864468865	0.000316990701606086	0.000105663567202029	0.0217666948436179	0	0.000563539025077487
CS.322	0	1.89674139827776e-05	0.0928834262736618	0.293862144835173	0	0.593300709381283	9.48370699138879e-05	0	0.0197071431281059	0	0.000132771897879443
CS.320	0	0.000129246278784223	0.107166706158585	0.182215712039291	0	0.684337505115999	2.15410464640372e-05	0	0.0257630915709885	4.30820929280744e-05	0
CS.163	0	9.54228824072012e-05	0.296765164286396	0.14558351092592	0	0.538375902541429	0.000667960176850409	6.36152549381342e-05	0.0172397340882344	0.000127230509876268	0.00108145933394828
CS.339	1.74234240512946e-05	0.00151583789246263	0.0641878942049692	0.312280029271352	0	0.597623444959403	0	0	0.0243230999756072	0	1.74234240512946e-05
CS.227	0	0	0.0924514474166361	0.229644558446317	0	0.629864419201173	0.000183217295712715	0	0.0478563576401612	0	0
CS.343	0	0	0.142825393505203	0.318516969094807	1.30732625634053e-05	0.524525440568948	0.000156879150760864	0	0.0139491711551535	1.30732625634053e-05	0
CS.202	4.79248538291958e-05	4.79248538291958e-05	0.0879421067765743	0.30034505894757	9.58497076583916e-05	0.574523147704399	4.79248538291958e-05	0	0.0360394900795553	0	0.000910572222754721
CS.270	3.79528246389738e-05	9.48820615974344e-05	0.026699812133518	0.358445452302788	1.89764123194869e-05	0.572347571968044	1.89764123194869e-05	1.89764123194869e-05	0.0423173994724557	0	0
CS.262	0.000158252888115208	0	0.0146120166693042	0.26211953368149	0	0.700902041462257	0	0	0.0219444004853089	0	0.000105501925410139
CS.253	1.47564448773002e-05	1.47564448773002e-05	0.0397095931648147	0.317647232428763	0	0.474626293033482	0	2.95128897546003e-05	0.020895125946257	0	0.147033216757419
CS.393	0	0	0.0596912521440823	0.327272727272727	0	0.532590051457976	5.71755288736421e-05	0.000800457404230989	0.0715837621497999	0.0017724413950829	0.00623213264722699
CS.370	0	0.000700552658208142	0.0187203238110065	0.325173192184946	0	0.633260683428038	0	0	0.0217949715886978	0	0.000155678368490698
CS.390	2.74213008665131e-05	2.74213008665131e-05	0.0606147855654272	0.366046945267083	0	0.546547658220906	1.37106504332566e-05	0	0.000287923659098388	0	0.0264341340353186
CS.326	0.000210837022981235	0.000695762175838077	0.157959097617542	0.254901960784314	0.00191861690912924	0.463061353573688	2.10837022981236e-05	0	0.119186169091292	0	0.00202403542061986
CS.145	0.000664061017720943	9.48658596744204e-05	0.0826850832922248	0.313474746708155	0	0.578131522027853	1.89731719348841e-05	0.000493302470306986	0.0183091109171631	0	0.00610936136303267
CS.255	0.000385573614900937	2.96595088385336e-05	0.0855676829991695	0.202426147822992	2.96595088385336e-05	0.671016727962985	0.000207616561869735	0.000237276070708269	0.0400699964408589	0	2.96595088385336e-05
TFS.025	0	0	0.0871288468041934	0.299113966858302	0	0.55197835644234	0.000886033141697667	6.76361176868448e-06	0.0607981061887048	3.38180588434224e-05	5.41088941494758e-05
T.CS.008	0	4.41559588466464e-05	0.021224297552288	0.429549167660176	0	0.501700004415596	1.47186529488821e-05	0	0.0474529371071959	1.47186529488821e-05	0
T.CS.049	0	0.0011072077859945	0.0255477944694288	0.191587954672827	1.36692319258581e-05	0.617958636904192	0.0502891042552319	2.73384638517162e-05	0.113440955752696	0	0
T.CS.055	0	0.0130641782517616	0.100399923824034	0.169034469624833	0.0314606741573034	0.555513235574176	3.80879832412874e-05	0.000609407731860598	0.129727670919825	0.00015235193296515	0
T.CS.043	0	0.0298893591369761	0.0415562560438042	0.276514247679807	0.032727592399563	0.49671593806121	0.00970776244238763	0.000150702651110804	0.112725583030881	0	0
